(2.5330003957471963e-14+2.359199580859464e-13j),(-0.07918297178625011-2.3899814127740335e-13j),(-0.10292270768501627+2.237696347213525j),(-0.10292270768513248-2.237696347213446j),(-0.10789692235356955+1.8737335142891085j),(-0.1078969223536303-1.8737335142886724j),(-0.13476038273380372-0.34545792950421716j),(-0.13476038273387927+0.3454579295044778j),(-0.17698233087417484-2.2969268744451936j),(-0.17698233087420778+2.2969268744452385j),(-0.2058437962213071+4.532807158853264j),(-0.2058437962213964-4.532807158853523j),(-0.21275748394421612-4.166396189199637j),(-0.21275748394421856+4.166396189200264j),(-0.23410306600293093-7.222425023317198j),(-0.2341030660032248+7.222425023315423j),(-0.2610209997623568-9.459747170688894j),(-0.26102099976243365+9.459747170688935j),(-0.2636573378604946+9.074041175738758e-11j),(-0.26792823388469433+9.093400509288987j)
(1.2587810229986513e-13-2.8882439973440065e-13j),(-0.07746515383448506+1.3194551273199538e-13j),(-0.10350187055441558-2.3619820113514636j),(-0.10350187055448765+2.361982011351032j),(-0.10913705825511186-2.023850940259502j),(-0.10913705825521759+2.0238509402589533j),(-0.13856572316981142-0.31210858549705195j),(-0.1385657231698827+0.3121085854972299j),(-0.1760958819015785-2.2530304806251884j),(-0.17609588190161604+2.2530304806252377j),(-0.2067779894481283+4.613101140601352j),(-0.20677798944827958-4.613101140601293j),(-0.2136155721989256-4.275913887689333j),(-0.21361557219898816+4.275913887689245j),(-0.23303146164146218-7.172484983553244j),(-0.23303146164155847+7.172484983553797j),(-0.2625074096772092-9.530780471025551j),(-0.2625074096772798+9.530780471025995j),(-0.26933310882441613-9.19368859739466j),(-0.26933310882444783+9.193688597394827j)
(5.934322134690525e-14-6.620291316392905e-13j),(-0.07585253545624757+5.03894027704164e-13j),(-0.10403571946983094-2.4857718077222235j),(-0.10403571946984504+2.4857718077222732j),(-0.11046577580740695-2.1752364564120366j),(-0.11046577580767619+2.17523645641231j),(-0.14247806828745302+0.28017569093104006j),(-0.14247806828751797-0.2801756909307805j),(-0.17543678403717633+2.214328277665352j),(-0.175436784037302-2.214328277665543j),(-0.2077813237095052-4.698070417599781j),(-0.20778132370950575+4.698070417599769j),(-0.21450230001491527+4.387938317841521j),(-0.21450230001496798-4.3879383178418205j),(-0.2319862558951339+7.123788069973734j),(-0.23198625589521543-7.123788069973529j),(-0.26403760199492055-9.606442698245255j),(-0.2640376019949659+9.60644269824571j),(-0.2707385386337926-9.296444733573752j),(-0.27073853863382624+9.296444733573532j)
(4.294676826824044e-13+7.88162025137603e-14j),(-0.07434848388153031+1.0794849467956798e-12j),(-0.10544432109327649+2.6132537375675846j),(-0.10544432109329036-2.613253737567723j),(-0.11188256534560617-2.3279596024989537j),(-0.11188256534578489+2.327959602497889j),(-0.14648744728295185-0.24934311882570614j),(-0.1464874472830514+0.24934311882580928j),(-0.17408640076090262+2.17643830145244j),(-0.17408640076100707-2.17643830145252j),(-0.20885372110038825+4.787517331313283j),(-0.20885372110040015-4.78751733131318j),(-0.21542912313559182+4.502400034878489j),(-0.21542912313567764-4.502400034878388j),(-0.23096862323009085+7.076298937310047j),(-0.2309686232302865-7.076298937309618j),(-0.2656032573744812+9.686637714230157j),(-0.2656032573746602-9.68663771423034j),(-0.27214366416057667-9.40170684622584j),(-0.2721436641605786+9.401706846225478j)
(8.117823398854077e-14+1.899804759082029e-13j),(-0.07295424726561721-2.0732940321538164e-13j),(-0.10707905806224656+2.74416155044374j),(-0.10707905806237289-2.7441615504436827j),(-0.11338693779475516-2.482085981547887j),(-0.11338693779504497+2.482085981547611j),(-0.15058458099408936+0.21922205630708347j),(-0.15058458099425617-0.2192220563071825j),(-0.17269477598631322+2.1394369740611547j),(-0.17269477598632466-2.1394369740612587j),(-0.20999508915250462+4.881248644954632j),(-0.2099950891525051-4.881248644954372j),(-0.2164176773908278-4.619221819578607j),(-0.21641767739107876+4.6192218195784145j),(-0.22997972084357207-7.029985965419736j),(-0.22997972084363616+7.029985965419917j),(-0.2671966924886809-9.771272468020918j),(-0.2671966924887032+9.771272468020829j),(-0.2735476144281644+9.509511437026697j),(-0.27354761442819175-9.509511437026594j)
(-4.668403583439093e-13+6.174944630693264e-13j),(-0.07166951074489807-6.128675751632585e-14j),(-0.1088538992574587-2.878350331731749j),(-0.1088538992574958+2.8783503317323826j),(-0.11497843213128822+2.6376771181073417j),(-0.11497843213137182-2.637677118107617j),(-0.15476090290623298+0.18929396042300167j),(-0.1547609029065504-0.18929396042289617j),(-0.1713493774191462+2.1032847452753027j),(-0.17134937741919967-2.1032847452751864j),(-0.2112053215639411-4.979076677201976j),(-0.2112053215642228+4.979076677202666j),(-0.21754706895382983+4.738320651528662j),(-0.21754706895386397-4.738320651528754j),(-0.22902068982487794-6.984821375412074j),(-0.22902068982490745+6.984821375411851j),(-0.2688108726401622-9.860257700339318j),(-0.2688108726401958+9.860257700339499j),(-0.2721697980890043+9.660432749994993e-12j),(-0.27494949917283296+9.619893839651011j)
(2.7309336968787305e-13+1.99020398836202e-13j),(-0.07049282939768702+4.651959059234797e-13j),(-0.1107443372215361+3.0157309375668517j),(-0.11074433722160049-3.0157309375668433j),(-0.11665662231936294+2.7947903325749404j),(-0.11665662231949592-2.7947903325747685j),(-0.15900855967520056-0.15878279568926326j),(-0.1590085596753751+0.1587827956891013j),(-0.17007617108711756+2.0678926101210386j),(-0.17007617108716178-2.067892610121112j),(-0.21248429848563852-5.0808201505637145j),(-0.21248429848578113+5.080820150564011j),(-0.2190412521628882+4.859941544634845j),(-0.21904125216332637-4.859941544635344j),(-0.22809265614538654+6.940781402291653j),(-0.22809265614540689-6.940781402292251j),(-0.27033768112569956-5.6517668388890616e-11j),(-0.2704394039292246+9.953508513785392j),(-0.27043940392940247-9.95350851378519j),(-0.27634840271565836-9.73288843674042j)
(-2.682484873863599e-14-4.017229550455614e-13j),(-0.069421961211167+3.6698173637119665e-14j),(-0.11273899523759634-3.1562320830118367j),(-0.11273899523762444+3.156232083012417j),(-0.11842112363595994+2.953478631201848j),(-0.11842112363597324-2.953478631202554j),(-0.16332039541686277+0.12631038139452633j),(-0.16332039541689863-0.1263103813943152j),(-0.1688880248776327+2.0331607224628723j),(-0.16888802487774426-2.0331607224627852j),(-0.21383188581915974+5.186304775140096j),(-0.21383188581929152-5.186304775139071j),(-0.2199068859121787-4.984096189552869j),(-0.21990688591221555+4.984096189552627j),(-0.22719673232709847+6.89784651180664j),(-0.22719673232712367-6.897846511807523j),(-0.2685597678032247-3.369534626242071e-13j),(-0.27207650950611845+10.050944821178918j),(-0.27207650950613854-10.05094482117871j),(-0.2777433790397933+9.848528850655123j)
(6.070923928825251e-15+5.965470707951909e-15j),(-0.06845411985458578-9.223980639640796e-14j),(-0.11483080859228294-3.2997898096882534j),(-0.11483080859243036+3.2997898096881095j),(-0.1202715982855153+3.1137906113144456j),(-0.12027159828561018-3.11379061131457j),(-0.16768992379162823+0.08859807325021968j),(-0.16768992379229392-0.0885980732508538j),(-0.16779353665334998-1.9989894076707224j),(-0.1677935366533609+1.9989894076704067j),(-0.2152479325471104-5.295363585791542j),(-0.21524793254714808+5.295363585791449j),(-0.22086434501159058-5.109885101794139j),(-0.22086434501174698+5.109885101793477j),(-0.22633402095273444-6.856001661485245j),(-0.22633402095281288+6.856001661485926j),(-0.26686467840858125+1.3656915269355233e-10j),(-0.27371699411178435-10.152491685878937j),(-0.27371699411178907+10.152491685878454j),(-0.27913344817123487+9.966848116116351j)
(-9.1407018141269e-14-4.397993200945693e-13j),(-0.06758616366595177+7.421991435551979e-13j),(-0.11701467991806382-3.4463439353253036j),(-0.11701467991814392+3.446343935325398j),(-0.12220776020716873-3.275770381222283j),(-0.12220776020727256+3.2757703812225887j),(-0.16679938698918104-1.9652830023040273j),(-0.16679938698918453+1.9652830023042507j),(-0.17211129148608734-0.026791846419612502j),(-0.17211129148637863+0.026791846419642655j),(-0.21673226420453776+5.407837040467389j),(-0.21673226420464164-5.40783704046717j),(-0.22202922712474357-5.237751969006712j),(-0.22202922712476153+5.237751969006634j),(-0.22550562203496552-6.815236620886596j),(-0.22550562203498853+6.815236620887544j),(-0.2652715140439917-1.5669775670180946e-10j),(-0.27535620063314376+10.258079568257886j),(-0.27535620063316657-10.258079568257997j),(-0.27962442848962515-13.74781533932244j)
