0j,(-0.05+1j),(-0.05-1j),(-0.1+0j),(-0.10000000000000003-4j),(-0.10000000000000003+4j),(-0.15-9j),(-0.15+9j),(-0.15000000000000002-3j),(-0.15000000000000002+3j),(-0.19999999999999998-8j),(-0.19999999999999998+8j),(-0.2+16j),(-0.2-16j),(-0.20000000000000007+0j),(-0.25+15j),(-0.25-5j),(-0.25-15j),(-0.25+5j),(-0.25000000000000006+25j)
(1.8554278878981288e-13-2.515694242231879e-13j),(-0.1144922355607338-0.47539573693490467j),(-0.11449223556075903+0.47539573693525383j),(-0.12276337443826162-4.402408968338762j),(-0.1227633744385079+4.402408968337803j),(-0.15212952151880266+1.6192194155818575e-11j),(-0.15834640644929426+3.9162131382060683j),(-0.15834640644931092-3.916213138205949j),(-0.1856690180408054+9.244177632670379j),(-0.18566901804089145-9.244177632669988j),(-0.2213553057014114+8.75736990119981j),(-0.2213553057016198-8.757369901201194j),(-0.22977435551439246-4.842051047658927j),(-0.22977435551457281+4.842051047658699j),(-0.23130747736097262-8.146192562247959e-11j),(-0.23702981908397658-16.23560767955115j),(-0.23702981908414314+16.2356076795506j),(-0.27274946867571354-15.748878002412079j),(-0.272749468675886+15.748878002412381j),(-0.28110365786620956-11.833771624879342j)
(-2.435149932667516e-13+8.829283202690258e-14j),(-0.11853083063401035+0.452064928777378j),(-0.11853083063404271-0.45206492877771054j),(-0.1241745185741021+4.450828534288072j),(-0.12417451857415662-4.450828534287716j),(-0.15003051183904442+7.823902694621948e-14j),(-0.1587008349551575+3.9864047838285406j),(-0.1587008349551892-3.9864047838280907j),(-0.18802399407244927-9.27354476052183j),(-0.18802399407247547+9.273544760521746j),(-0.22267565882716175-8.808393129514775j),(-0.22267565882723317+8.808393129514728j),(-0.2284912813594105-4.822989263065126j),(-0.22849128135948982+4.82298926306483j),(-0.2386718349620754-2.06969680650152e-11j),(-0.23941801471282984-16.264214423049786j),(-0.23941801471296792+16.264214423049395j),(-0.2741020262133492+15.79914459051632j),(-0.2741020262136001-15.799144590516052j),(-0.27983323384454856-11.814033146431132j)
(1.4815068749940907e-13+6.374441680732891e-13j),(-0.12267056369972966-0.42886373818205076j),(-0.12267056369979325+0.4288637381820459j),(-0.1256295353665323+4.503093705925078j),(-0.12562953536662946-4.503093705924744j),(-0.1477769823876665+2.4267753657673514e-13j),(-0.15906655537608233-4.0601112751170545j),(-0.15906655537610573+4.060111275117103j),(-0.19044329360883602+9.305256466778017j),(-0.19044329360884743-9.30525646677712j),(-0.22403626137859692-8.861399153977178j),(-0.22403626137870175+8.861399153977189j),(-0.2271995493053596+4.802402148892245j),(-0.22719954930545738-4.802402148892023j),(-0.2418638898505479-16.295157287487296j),(-0.24186388985058507+16.295157287486553j),(-0.2463235889226961+6.275799814229806e-12j),(-0.2754877163931351+15.85138457092076j),(-0.27548771639315794-15.85138457092074j),(-0.27853848148636595+11.792790485867853j)
(-2.474574988701171e-13-4.552461540564247e-13j),(-0.12690624763454042+0.4058077504847757j),(-0.1269062476346773-0.40580775048536355j),(-0.12712865353204617+4.559322488657835j),(-0.12712865353216085-4.559322488657688j),(-0.14540265907265734-3.114211820501508e-13j),(-0.1594416161213516+4.137418318224652j),(-0.1594416161213789-4.137418318224225j),(-0.19292320903406324+9.339389425983892j),(-0.19292320903411328-9.33938942598393j),(-0.2254371941498818-8.916415767308065j),(-0.2254371941498972+8.916415767308681j),(-0.22591061752105795+4.780231828423448j),(-0.225910617521162-4.7802318284234255j),(-0.24436266571993137-16.328521384102412j),(-0.24436266571996254+16.32852138410287j),(-0.2541994614792239-3.17415246374379e-11j),(-0.2769056792395571-15.905634063262239j),(-0.2769056792395606+15.90563406326252j),(-0.2772239403189866+11.770010789704845j)
(-1.6446080065405982e-13-1.5475791038264237e-13j),(-0.12867211804173195+4.619622965988112j),(-0.1286721180417691-4.619622965988323j),(-0.1312324541483872-0.38290234369732007j),(-0.13123245414839418+0.3829023436969413j),(-0.1429347960435125+2.0566147098386687e-12j),(-0.15981759432392237+4.2184203560890925j),(-0.15981759432402243-4.218420356089671j),(-0.19545984662896942-9.376015135949762j),(-0.19545984662911683+9.376015135949165j),(-0.2246428872891155-4.756410878730569j),(-0.22464288728916118+4.756410878730339j),(-0.22687854079136258+8.973469948786207j),(-0.22687854079145495-8.973469948786247j),(-0.2469093398473733-16.36438782660921j),(-0.24690933984745556+16.364387826608166j),(-0.26220254904572776-7.17253229445203e-11j),(-0.2758943700354885-11.745667132990233j),(-0.2758943700355153+11.745667132990354j),(-0.27835500875113306+15.961929581968901j)
(5.956996165170887e-13-2.117771982415576e-13j),(-0.1302601911750817-4.684092777593985j),(-0.13026019117513285+4.684092777593753j),(-0.13564357524714163+0.36014096638397075j),(-0.13564357524719203-0.36014096638403625j),(-0.14039614706481568-4.27467884341781e-12j),(-0.16016762290973183-4.303239215264695j),(-0.16016762290997594+4.303239215264902j),(-0.19804918527991508-9.415199619233372j),(-0.1980491852799294+9.415199619233713j),(-0.22343355828456127-4.7308435980383905j),(-0.22343355828459138+4.730843598039165j),(-0.22836038772291892-9.032587773446883j),(-0.22836038772304496+9.032587773447334j),(-0.24949875065414387-16.402833513205636j),(-0.24949875065427443+16.402833513206097j),(-0.27009948966629105+2.112413732202276e-10j),(-0.2745546905969889-11.719738812341822j),(-0.27455469059719023+11.719738812340506j),(-0.27983475275668923-16.020308012559873j)
(-2.811991909463512e-14-4.669443858986483e-13j),(-0.13189315374495839-4.752818732668643j),(-0.13189315374505908+4.75281873266822j),(-0.13780625506479346-7.63706112486939e-12j),(-0.14013388693156176-0.3375028923934656j),(-0.140133886931619+0.33750289239336667j),(-0.16039847638408702+4.392082382325488j),(-0.1603984763842596-4.392082382325163j),(-0.20068713723221615+9.457003194349834j),(-0.2006871372322625-9.457003194349895j),(-0.22238642097182454-4.703347647204308j),(-0.22238642097185504+4.703347647204494j),(-0.22988282400908838-9.093794325586847j),(-0.2298828240092088+9.093794325587332j),(-0.2521256395407578+16.443930976973554j),(-0.2521256395408102-16.44393097697402j),(-0.27320992014688283-11.692211573786201j),(-0.27320992014692497+11.692211573786441j),(-0.2770268349773019+7.231158921896437e-10j),(-0.2813439128831691-16.080806591578398j)
(-6.791556343912477e-13+6.370186700563053e-14j),(-0.1335713064926157-4.82587656028882j),(-0.13357130649262208+4.8258765602884734j),(-0.13518228728860346+2.916225649618502e-12j),(-0.14469761321848815-0.3149501424994119j),(-0.14469761321851135+0.3149501424992458j),(-0.16005351147323138-4.485465644232156j),(-0.1600535114734671+4.485465644232635j),(-0.20336960899624615+9.50148031783578j),(-0.20336960899634876-9.501480317835705j),(-0.22196879378827594+4.67343133113666j),(-0.22196879378842316-4.673431331136814j),(-0.23144594118579012+9.157113617221794j),(-0.23144594118598116-9.157113617221961j),(-0.2547847104978054-16.487748304841737j),(-0.2547847104979024+16.48774830484197j),(-0.2718651126619775+11.663077774275306j),(-0.2718651126620935-11.663077774276248j),(-0.2806684668365771-2.2593545182731463e-10j),(-0.2828814446202254-16.14346289039748j)
(1.2199251847913148e-13-6.345133694236284e-13j),(-0.1325395722812764+6.24114915628742e-12j),(-0.1352949716504223+4.903330794574074j),(-0.13529497165045087-4.903330794574269j),(-0.14932898863510266-0.29242304911481337j),(-0.14932898863521177+0.292423049114643j),(-0.1546996992264119-4.583607221639767j),(-0.15469969922668905+4.583607221640237j),(-0.20609256057343625-9.548679496339721j),(-0.20609256057353104+9.548679496339696j),(-0.22662437220040885+4.640899391343191j),(-0.22662437220064216-4.640899391344386j),(-0.23304983302116297+9.222568512184175j),(-0.23304983302117244-9.222568512185383j),(-0.25747068688148284-16.53434912420448j),(-0.2574706868815572+16.53434912420395j),(-0.27052529720973045-11.632336477615944j),(-0.27052529720975144+11.632336477616107j),(-0.28133738869384406-5.573521633443994e-10j),(-0.28444625747743757-16.208314803141814j)
(4.724030834222127e-13+1.651564777748551e-15j),(-0.1298919429357-3.944013330825998e-13j),(-0.1370644946585243+4.985234788667714j),(-0.13706449465854897-4.985234788668098j),(-0.15402231749238462-0.26983354077755806j),(-0.15402231749258327+0.2698335407780202j),(-0.1548543891640242+4.6688029439132634j),(-0.15485438916408856-4.668802943913058j),(-0.2088520613173382+9.59864326602339j),(-0.20885206131750764-9.598643266023092j),(-0.22584635241945897-4.623477761035148j),(-0.225846352419522+4.62347776103486j),(-0.23469459519206648-9.290180656734213j),(-0.2346945951921276+9.29018065673452j),(-0.26017836460390964-16.58379265482948j),(-0.26017836460405164+16.58379265482917j),(-0.26919542053289763-11.599993487236437j),(-0.26919542053294726+11.599993487237453j),(-0.28110055150142166+1.3522868522612713e-10j),(-0.2860372152176239-16.275400538936275j)
(-2.8600844812202566e-14+3.359870662251804e-13j),(-0.1272519540506159+2.0973546881801667e-12j),(-0.13888024601518972+5.071630848301082j),(-0.1388802460152981-5.0716308483013135j),(-0.1587720284716193+0.24705442963962596j),(-0.15877202847164565-0.24705442963943045j),(-0.16267808438054498-4.775426702974957j),(-0.1626780843805577+4.775426702974497j),(-0.21164434097831422-9.651408234904439j),(-0.21164434097837662+9.65140823490443j),(-0.21748455378282042+4.586813045815438j),(-0.21748455378300036-4.586813045815601j),(-0.23638032484358384-9.359970417801053j),(-0.23638032484365706+9.35997041780127j),(-0.26290266077075897-16.636133822116772j),(-0.2629026607708701+16.63613382211619j),(-0.26788029447035033-11.566061319543591j),(-0.2678802944704549+11.566061319545346j),(-0.28059903478928555+4.425525780535341e-11j),(-0.2876531361585952-16.344758618686065j)
(5.347081507802944e-13-6.825610529346932e-13j),(-0.12463102019315217+3.463271310960833e-12j),(-0.14074262323225062+5.16255047299789j),(-0.14074262323226852-5.162550472997407j),(-0.16357272334460313-0.22390128682893132j),(-0.1635727233446252+0.22390128682940078j),(-0.164165528322258+4.8845250719762525j),(-0.16416552832232564-4.884525071975476j),(-0.21446583475721837-9.707005182413305j),(-0.21446583475724132+9.707005182413916j),(-0.21555424142474192-4.549877844167938j),(-0.21555424142486773+4.54987784416809j),(-0.23810711999139403-9.43195683038988j),(-0.23810711999160386+9.431956830390646j),(-0.2656386567928915+16.6914234263503j),(-0.2656386567930132-16.69142342635081j),(-0.2665845494447154-11.530559122490489j),(-0.26658454944475746+11.530559122490832j),(-0.2800010949073666-1.0184104224447375e-10j),(-0.2892927935280864-16.41642787655582j)
(2.538424723309002e-13+4.2109894434093385e-13j),(-0.1220395038720876-1.7809701875185764e-12j),(-0.1426520528696626+5.258014690946493j),(-0.1426520528696875-5.258014690946632j),(-0.16516306193199373+4.996528330763773j),(-0.16516306193213426-4.996528330763466j),(-0.16841921896913176+0.20009950175808913j),(-0.16841921896917206-0.20009950175767716j),(-0.21421869222922568-4.512259665900668j),(-0.21421869222937964+4.512259665900885j),(-0.21731322151972854+9.765459209372874j),(-0.21731322151979027-9.76545920937228j),(-0.23987507870806826+9.506157556374836j),(-0.2398750787081011-9.506157556374703j),(-0.2653125949463884+11.493512544261675j),(-0.2653125949465001-11.493512544262025j),(-0.26838163515575886-16.749708361458776j),(-0.2683816351558114+16.749708361458552j),(-0.27936639451965517+1.1730239914883613e-10j),(-0.2909549158649151+16.490447466323115j)
(-1.8854713799389627e-13+6.12121293646671e-13j),(-0.1194867742165109-2.42332200252972e-12j),(-0.14460899261147112-5.358034472273655j),(-0.1446089926115612+5.3580344722741176j),(-0.1661167787555973+5.112082640914979j),(-0.16611677875560177-5.11208264091491j),(-0.17330658202888907-0.1752185546196013j),(-0.17330658202907118+0.17521855461928318j),(-0.21304097750524117+4.473328705966372j),(-0.21304097750525428-4.473328705966702j),(-0.22018345465163058+9.82678993092378j),(-0.22018345465175088-9.82678993092383j),(-0.2416842980072322+9.582588858138562j),(-0.24168429800738303-9.582588858137983j),(-0.2640685876376928-11.454953556419115j),(-0.26406858763773505+11.4549535564196j),(-0.27112710927876993+16.811031875973836j),(-0.2711271092789439-16.811031875973615j),(-0.2787221862755798+2.32520008854154e-10j),(-0.2926381874504727+16.56685687272865j)
(2.7397684454016646e-13+8.48246900863737e-13j),(-0.11698124945553538-5.719909450166024e-12j),(-0.1466139333516791-5.462611204768078j),(-0.14661393335190492+5.462611204768331j),(-0.1671062622743351+5.2313805890133285j),(-0.16710626227459058-5.231380589013851j),(-0.17823015630582992-0.14852251799712815j),(-0.1782301563060488+0.1485225179968228j),(-0.21195017849629433-4.432907255109303j),(-0.21195017849644457+4.432907255109012j),(-0.2230737853556186-9.891011704571971j),(-0.22307378535569292+9.89101170457143j),(-0.24353487230981652-9.661265592554049j),(-0.24353487230989546+9.661265592553994j),(-0.26285640741167154-11.414920233968232j),(-0.2628564074117334+11.414920233967525j),(-0.27387084618801716-16.875433868477533j),(-0.2738708461880968+16.87543386847812j),(-0.27808356841781984+3.985353015261321e-10j),(-0.2943412487644398-16.645695927970156j)
(2.290526569139235e-13+1.658297190760023e-13j),(-0.11453043179418301-4.654828482040156e-12j),(-0.14866740125562483+5.5717372162156975j),(-0.14866740125572275-5.571737216216183j),(-0.16815535853578675+5.354492917359507j),(-0.16815535853584734-5.354492917359334j),(-0.18318558256430448-0.11855384924770988j),(-0.18318558256436773+0.11855384924824415j),(-0.210930581449285+4.390937928300927j),(-0.21093058144938998-4.390937928300733j),(-0.2259817784863399-9.958133885461942j),(-0.2259817784864323+9.958133885462258j),(-0.24542689132244683+9.74220123468757j),(-0.2454268913224924-9.742201234687062j),(-0.2616796414923319+11.373456491004665j),(-0.26167964149239-11.37345649100373j),(-0.2766088820226546-16.942951209722576j),(-0.2766088820228624+16.942951209722672j),(-0.2774602517037773+3.014961047378323e-10j),(-0.29606269695380577-16.727004833434524j)
(1.1086569169345343e-13-2.0066282575674577e-13j),(-0.11214094017292069+1.87961573961231e-12j),(-0.15076995976302518+5.685396327996893j),(-0.15076995976303212-5.685396327996423j),(-0.1692741358910212-5.481445098114067j),(-0.16927413589110157+5.4814450981144j),(-0.1881688113739872-0.0814518789707563j),(-0.1881688113747527+0.08145187897059271j),(-0.2099796997150078+4.347407055065889j),(-0.20997969971507202-4.347407055066133j),(-0.22890532127366228-10.028161101274613j),(-0.22890532127368723+10.028161101274463j),(-0.24736043711725908+9.825407947631401j),(-0.247360437117327-9.825407947631659j),(-0.26054157646300774+11.33061176311356j),(-0.2605415764630144-11.330611763113701j),(-0.27685922770119836-1.919906504927034e-10j),(-0.2793375306540527+17.013618083805223j),(-0.2793375306540656-17.01361808380581j),(-0.2978010863085983-16.810824186801423j)
(-5.027246145153185e-13-1.3297235597732237e-13j),(-0.10981854410939926-1.9447490831524106e-12j),(-0.1529222115017861-5.80356442570906j),(-0.15292221150189117+5.803564425709228j),(-0.17046809490297848-5.612240855546162j),(-0.1704680949030173+5.612240855545889j),(-0.1771708571057006+9.699772641710005e-14j),(-0.20909905869806372+4.3023211271334185j),(-0.20909905869810774-4.302321127133493j),(-0.20918136169674317-3.018549410342267e-13j),(-0.23184262548216283-10.101093539562434j),(-0.231842625482255+10.101093539562187j),(-0.24933558018315546-9.910896729014597j),(-0.24933558018334986+9.910896729013919j),(-0.25944519791067283+11.286440613064098j),(-0.25944519791078036-11.286440613062975j),(-0.2762859508029816+1.2511901593630997e-10j),(-0.28205338591463675+17.087466341262186j),(-0.2820533859146792-17.0874663412628j),(-0.299554928740077-16.89719501463057j)
(-5.747758355517411e-13+3.607787227941729e-13j),(-0.10756820022960682-1.6973156981815182e-12j),(-0.11654886717109068+5.030527860419276e-13j),(-0.15512480007955862-5.926210033930595j),(-0.1551248000796456+5.926210033930288j),(-0.17174084274902127+5.746871106453988j),(-0.17174084274908688-5.746871106453698j),(-0.20829152790870414-4.2556978333899576j),(-0.2082915279087593+4.255697833389791j),(-0.234792223712738+10.176927241034814j),(-0.23479222371277544-10.176927241034532j),(-0.25135237439545355-9.998677693855583j),(-0.25135237439563807+9.998677693856383j),(-0.25839319705973385+11.24100220641502j),(-0.2583931970597571-11.241002206415303j),(-0.27574491307122734+3.8451543923604896e-10j),(-0.2798592525034514-1.6901862068377872e-13j),(-0.2847533181010236-17.16452585752697j),(-0.28475331810114923+17.164525857527476j),(-0.30132269425751446-16.98615881060571j)
(-1.3149020554744343e-13-1.2378357406457555e-13j),(-0.09078639615770491-7.539737897038388e-16j),(-0.10539409214287376-3.6782494772077644e-13j),(-0.15737841172758782+6.0532948838770295j),(-0.15737841172763242-6.053294883877248j),(-0.17309503227751571+5.885317953057411j),(-0.17309503227769676-5.885317953057471j),(-0.20756039833689677-4.207562047895562j),(-0.20756039833698864+4.207562047895428j),(-0.23775296064366871+10.25565439302865j),(-0.2377529606437097-10.255654393028783j),(-0.2534108517900435-10.088760618517252j),(-0.2534108517901514+10.088760618517624j),(-0.257387982721033+11.19435953774041j),(-0.25738798272111435-11.194359537740064j),(-0.27523993716284706+5.743892024264484e-11j),(-0.2874344655233295-17.24482489099696j),(-0.2874344655235318+17.244824890997485j),(-0.3031028114448746-17.07775757966283j),(-0.30310281144494416+17.07775757966239j)
(3.3443751017836485e-13+2.1916911992228672e-13j),(-0.07324447858644123-3.0289742462428636e-13j),(-0.1032996735404021+2.7148328155133152e-12j),(-0.1596837767607271-6.184774464463879j),(-0.15968377676096213+6.184774464464853j),(-0.17453274464452073+6.02755671901363j),(-0.17453274464461635-6.027556719013728j),(-0.20690902450927576-4.1579437802998465j),(-0.2069090245092996+4.1579437802996155j),(-0.24072398005861123-10.337263618256344j),(-0.24072398005881074+10.337263618256173j),(-0.25551102193940084-10.181156027705613j),(-0.2555110219394764+10.181156027705166j),(-0.2564316929311226-11.146578129970026j),(-0.25643169293116824+11.146578129970035j),(-0.2747743296211028+3.054726919668157e-12j),(-0.29009422193742124+17.32839043572973j),(-0.29009422193761764-17.32839043572909j),(-0.30489366793679373-17.172033888379016j),(-0.3048936679368537+17.17203388837896j)
(3.346297761493502e-13-3.63322690252645e-13j),(-0.060104969675510024+9.075743409033721e-14j),(-0.10128771396557941+3.0229999381140983e-12j),(-0.16204167082988885+6.320598549064111j),(-0.1620416708300345-6.320598549064017j),(-0.17605566796785982+6.173557113808087j),(-0.17605566796786115-6.1735571138080765j),(-0.20634067706894382+4.106877003398853j),(-0.20634067706905954-4.106877003398812j),(-0.24370470851888543+10.421740254766057j),(-0.24370470851900414-10.421740254766164j),(-0.25552618458900545+11.097723506418301j),(-0.25552618458903853-11.097723506418507j),(-0.25765289678192144+10.275877528504j),(-0.25765289678197784-10.275877528504749j),(-0.2743509626665899-5.2016489354077305e-11j),(-0.2927302207111958-17.415248564647897j),(-0.2927302207112669+17.4152485646481j),(-0.30669361090490727-17.269030922225816j),(-0.306693610904923+17.269030922226055j)
(3.3924184342048306e-13+2.6626951436854268e-14j),(-0.04981968877959691-8.932048245759781e-15j),(-0.09936034651104485-1.0046630780817226e-13j),(-0.16445291592789804+6.460711692017302j),(-0.16445291592802924-6.460711692016985j),(-0.17766519334926795-6.323283968523677j),(-0.17766519334940145+6.323283968523972j),(-0.20585848289031194+4.05439891478201j),(-0.20585848289037173-4.054398914782239j),(-0.2466948365025906-10.509066623884694j),(-0.24669483650261162+10.50906662388477j),(-0.2546729074791137-11.047855437919697j),(-0.25467290747912286+11.047855437920255j),(-0.25983663370863164-10.372947391545164j),(-0.25983663370875776+10.372947391545841j),(-0.27397230715493-8.013358232428418e-11j),(-0.2953403165556611-17.505424759939405j),(-0.2953403165556665+17.505424759939334j),(-0.3076669109228027+19.997565282545292j),(-0.3076669109228507-19.997565282545306j)
(-5.93976587052154e-14-8.775664654150283e-14j),(-0.04156447643032736+1.0485055299396397e-13j),(-0.09751911652964838+2.4678871409092874e-12j),(-0.16691838111782514-6.6050536905962085j),(-0.1669183811179049+6.60505369059613j),(-0.1793624747572819+6.476697741408793j),(-0.17936247475738698-6.476697741409118j),(-0.20546540480088535-4.00054943419429j),(-0.20546540480100858+4.000549434193942j),(-0.24969429778158955-10.5992222837001j),(-0.2496942977816482+10.599222283700119j),(-0.253872185805922+10.997012180328218j),(-0.2538721858062602-10.997012180328722j),(-0.262063273023735-10.47241216573071j),(-0.2620632730239226+10.472412165730287j),(-0.2736404433898477-4.718809764415076e-11j),(-0.2979225656086768-17.59894422807778j),(-0.2979225656089027+17.598944228078448j),(-0.30703987543245903+19.94267169092562j),(-0.3070398754324594-19.942671690925753j)
(3.3004825828315967e-14+1.8509496036686761e-13j),(-0.03483310033142423-1.469655987120479e-13j),(-0.09576503051710973+1.1490947190479948e-12j),(-0.16943898294478757+6.75356000965905j),(-0.16943898294480408-6.753560009659378j),(-0.18114847236737042-6.633754889565666j),(-0.18114847236738243+6.633754889565651j),(-0.2051642403500233-3.945370840723533j),(-0.20516424035013078+3.945370840723412j),(-0.25270324773526265+10.692184266352738j),(-0.25270324773538627-10.692184266352594j),(-0.2531186796514364+10.945154709821963j),(-0.253118679651594-10.945154709822047j),(-0.26433929669212064+10.574398319827518j),(-0.26433929669257117-10.574398319826459j),(-0.27335704993584153-2.1124299888330567e-10j),(-0.3004752045886701+17.695832197604574j),(-0.30047520458874444-17.695832197605284j),(-0.30647839283034845-19.886681260850192j),(-0.3064783928304063+19.886681260850402j)
(3.9799555263024974e-13+1.981954293360784e-13j),(-0.029285686428581623-1.0038740306058347e-13j),(-0.09409860431727585-2.1572549159663354e-14j),(-0.17201568548291224+6.906162167535005j),(-0.1720156854829593-6.906162167535176j),(-0.1830239885399299+6.7944081603776825j),(-0.183023988539971-6.7944081603773485j),(-0.2049576300189124-3.8889075003102507j),(-0.20495763001897593+3.888907500310488j),(-0.2523547760308447+10.891860900819136j),(-0.2523547760312486-10.891860900819205j),(-0.2557220412121443-10.787927298041522j),(-0.25572204121222764+10.787927298041808j),(-0.26672325809691977-10.67941796616127j),(-0.2667232580970266+10.679417966161285j),(-0.27312337894080213+3.1573549935075287e-11j),(-0.30299662965830476-17.79611419837936j),(-0.3029966296583977+17.7961141983798j),(-0.3059841493622055+19.829667775679127j),(-0.3059841493623152-19.829667775678864j)
(9.70983385730869e-14-2.7789487624183304e-13j),(-0.02467991849600289+4.771469657993546e-14j),(-0.09251990996338538+1.6043031386174236e-12j),(-0.1746494999772533-7.062788082919339j),(-0.17464949997735887+7.06278808291958j),(-0.1849896718985183-6.958606852647422j),(-0.18498967189855992+6.958606852647401j),(-0.20484807002442823-3.831205656277567j),(-0.20484807002449879+3.8312056562774797j),(-0.2475044612945643-10.830849691088746j),(-0.24750446129525894+10.830849691087755j),(-0.25875121047850946+10.886424001188244j),(-0.25875121047852434-10.88642400118861j),(-0.2729402227895631-1.1557082959800206e-10j),(-0.27329193056026235+10.793844621143313j),(-0.27329193056112544-10.793844621142997j),(-0.305485375559831-17.89981632150558j),(-0.30548537556001637+17.89981632150499j),(-0.3055587015443144+19.77170775194167j),(-0.30555870154432446-19.771707751941708j)
(1.9942040259063847e-13-2.232087995763871e-13j),(-0.02083551057089921-3.267598732484047e-13j),(-0.09102862058060772+3.785150721556035e-12j),(-0.17734148401706964-7.223362383475888j),(-0.17734148401707625+7.223362383476103j),(-0.1870459442691806-7.126296829391612j),(-0.18704594426937068+7.126296829391472j),(-0.20483792708664983+3.772313266830819j),(-0.20483792708672313-3.772313266830696j),(-0.2492438865993059+10.795335829177132j),(-0.24924388659942392-10.795335829176592j),(-0.26179144371426716+10.987645078710177j),(-0.26179144371435853-10.987645078710166j),(-0.2728078665331708-1.7228963146745515e-10j),(-0.2733697624876541-10.884558406204963j),(-0.2733697624877355+10.884558406204313j),(-0.30520349673000974-19.712880196484907j),(-0.3052034967301224+19.71288019648506j),(-0.3079400954921994-18.006965459555826j),(-0.3079400954923326+18.00696545955588j)
(6.343531091697045e-13+5.415507094874358e-13j),(-0.017614075534216792+2.4320165946471558e-15j),(-0.08962405285349234-2.008042851791842e-12j),(-0.18009274018497307-7.387806677725727j),(-0.18009274018504262+7.387806677724905j),(-0.1891934646371245+7.297420824369004j),(-0.18919346463742737-7.297420824369157j),(-0.20492945363437517-3.7122798793368466j),(-0.20492945363451076+3.7122798793365526j),(-0.25022746898013143-10.737974868595348j),(-0.2502274689802766+10.73797486859573j),(-0.26484356427308586+11.091559480730455j),(-0.2648435642731721-11.091559480731108j),(-0.27272603665197775+9.642203842202848e-11j),(-0.2743027962686238-10.999001022890631j),(-0.2743027962686467+10.999001022890601j),(-0.3049198911020417-19.653266298806845j),(-0.3049198911022176+19.653266298806898j),(-0.3103595421251872+18.117589526985235j),(-0.31035954212527117-18.11758952698501j)
(1.7065873362155143e-13-1.0319831411493405e-13j),(-0.014906879917672157+1.90845655143296e-13j),(-0.08830520678931604+5.715751270449173e-15j),(-0.1829044141156092+7.556039792415349j),(-0.1829044141156133-7.556039792415766j),(-0.191432588376753-7.471918727424701j),(-0.19143258837689245+7.471918727425287j),(-0.20512480251587095-3.6511565343612227j),(-0.2051248025160203+3.651156534361348j),(-0.24993629799789985-10.683289893080072j),(-0.2499362979980384+10.68328989307991j),(-0.26790851089369316-11.198134554012903j),(-0.2679085108937418+11.198134554012855j),(-0.27269383700139244+9.804260985503675e-11j),(-0.27661028072911387+11.112749015527983j),(-0.2766102807291855-11.112749015527909j),(-0.3047091618903454-19.592948978651627j),(-0.30470916189044284+19.592948978651737j),(-0.3127425500727379-18.231717660859342j),(-0.3127425500730505+18.231717660859903j)
(-1.3464726329344288e-13+7.596912022357795e-14j),(-0.012626964035805833+3.6951476545253825e-14j),(-0.08707080257888211-6.590734945378166e-13j),(-0.1857776918868233-7.727977978101685j),(-0.18577769188695126+7.727977978101647j),(-0.19376362800386934+7.649727386381158j),(-0.1937636280039395-7.649727386381305j),(-0.20542604061663844-3.5889956942204138j),(-0.20542604061678307+3.5889956942203023j),(-0.24958101317815407+10.628962916469545j),(-0.24958101317821296-10.628962916469314j),(-0.2709873194527017+11.307336174874395j),(-0.270987319452762-11.307336174874392j),(-0.27270968346586244+7.49580740499626e-11j),(-0.2790818117242055-11.228222375212676j),(-0.27908181172430824+11.228222375213258j),(-0.3045725049546312+19.532012110017355j),(-0.30457250495467864-19.532012110017334j),(-0.31508802008107406+18.349380402159603j),(-0.3150880200811192-18.349380402159035j)
(-4.007152135009369e-13-1.4967290789756785e-13j),(-0.010703832195908428+1.9109416409158822e-13j),(-0.08591931441848218+4.342693319387644e-13j),(-0.18871379667013996+7.903535086043671j),(-0.18871379667019994-7.9035350860437665j),(-0.19618688405419163+7.830780833953401j),(-0.1961868840541931-7.830780833953116j),(-0.20583516098899388+3.5258511917744038j),(-0.20583516098915325-3.5258511917742767j),(-0.24924847753788254+10.57478409843037j),(-0.24924847753824525-10.574784098430063j),(-0.27277122663238496-1.3159775225931374e-10j),(-0.27408110621538645+11.419128866836969j),(-0.27408110621557236-11.419128866836749j),(-0.2816306754719106-11.34573534094311j),(-0.2816306754721154+11.345735340943492j),(-0.3045109893336022-19.470538978525433j),(-0.30451098933376136+19.47053897852563j),(-0.3173949051273107-18.470609857964327j),(-0.31739490512747975+18.470609857964504j)
(1.4973789893243224e-13+3.933307857672852e-13j),(-0.009079734598407193+2.904109783428876e-15j),(-0.08484900138163817+9.84259468685455e-13j),(-0.19171398455599864+8.082622719815964j),(-0.19171398455606206-8.082622719815724j),(-0.198702632793001-8.015010365700329j),(-0.19870263279302475+8.015010365700574j),(-0.2063540932257667+3.4617781957917124j),(-0.20635409322579099-3.4617781957916014j),(-0.24895823419576313-10.520782237151561j),(-0.248958234195812+10.520782237151783j),(-0.2728752765993436+3.5367883415811347e-11j),(-0.2771910524744173-11.533475903768563j),(-0.2771910524745511+11.53347590376866j),(-0.28423740756468596+11.465365933446876j),(-0.28423740756477045-11.465365933446813j),(-0.30452536335195907-19.40860872167855j),(-0.304525363352122+19.408608721678352j),(-0.3196621985897309+18.595439844802183j),(-0.3196621985897321-18.595439844800975j)
