0j,(-0.05+1j),(-0.05-1j),(-0.1+0j),(-0.10000000000000003-4j),(-0.10000000000000003+4j),(-0.15-9j),(-0.15+9j),(-0.15000000000000002-3j),(-0.15000000000000002+3j),(-0.19999999999999998-8j),(-0.19999999999999998+8j),(-0.2+16j),(-0.2-16j),(-0.20000000000000007+0j),(-0.25+15j),(-0.25-5j),(-0.25-15j),(-0.25+5j),(-0.25000000000000006+25j)
(-6.070243842316463e-15+3.10317935795414e-13j),(-0.056714196276356064-0.926196523065384j),(-0.05671419627645703+0.9261965230656676j),(-0.10251825580494446+4.005072235602636j),(-0.1025182558050028-4.0050722356035315j),(-0.11152700351345388-2.4861110448263904e-12j),(-0.1514680481463633+3.0785636381992245j),(-0.15146804814649414-3.078563638199332j),(-0.15341326936314104+9.003091573635768j),(-0.15341326936327515-9.003091573635436j),(-0.1973533136280481+5.161087424864876e-13j),(-0.2023636449808353-8.076606047496002j),(-0.20236364498086606+8.076606047496568j),(-0.2036294410612883-16.00294258313605j),(-0.2036294410613064+16.002942583136054j),(-0.24817191154587048+4.998024254877629j),(-0.24817191154594986-4.9980242548776745j),(-0.2525796800689619+15.076466971005736j),(-0.2525796800689948-15.07646697100591j),(-0.2537241241810295-25.00287538182191j)
(-8.548771579061607e-14+6.455884761449599e-13j),(-0.05801234023869283-0.9126357901114995j),(-0.05801234023877971+0.912635790111186j),(-0.10299711704669041-4.007219961847155j),(-0.10299711704673029+4.007219961847352j),(-0.11375058065101681-3.730441081192521e-12j),(-0.15172372997937567-3.0941979492670426j),(-0.15172372997948236+3.094197949266389j),(-0.15408549829244714-9.004401854745648j),(-0.15408549829252297+9.004401854745346j),(-0.19683017602248232+3.16515570141793e-12j),(-0.2028131729964597+8.09140386368307j),(-0.20281317299648458-8.091403863683441j),(-0.20434154227780293+16.00419017755616j),(-0.2043415422780112-16.004190177556147j),(-0.2478034479560816-4.99718890438712j),(-0.24780344795615034+4.997188904387097j),(-0.2530691385715838+15.091203738471634j),(-0.25306913857169455-15.091203738471773j),(-0.2544542743385322+25.004094072414087j)
(1.7683463427958142e-13+1.893206685031566e-13j),(-0.05943075650289299-0.8980650685601518j),(-0.05943075650293424+0.8980650685600301j),(-0.1035176923319283+4.009981934990746j),(-0.1035176923320908-4.009981934991007j),(-0.11617450830030654-1.2803514677094776e-12j),(-0.15199364556778275+3.111444119722439j),(-0.1519936455678044-3.1114441197226896j),(-0.1548242281385938+9.006086434898982j),(-0.15482422813873217-9.006086434898906j),(-0.19625922466598872-2.877833310753307e-13j),(-0.20330187882049836+8.107572537963641j),(-0.20330187882062778-8.107572537963883j),(-0.20512310681363083-16.005794943316044j),(-0.20512310681369883+16.005794943316417j),(-0.24739587130487606-4.996114218981568j),(-0.2473958713049315+4.996114218982163j),(-0.25360079259322243-15.107294294282656j),(-0.2536007925933115+15.107294294282752j),(-0.2552555000792905-25.005661573804755j)
(-3.658238459877021e-13-6.295383310756034e-13j),(-0.060970999338598175-0.8825262801228793j),(-0.06097099933864317+0.8825262801226864j),(-0.10408000404989437+4.013463988109244j),(-0.10408000405011526-4.013463988109036j),(-0.11879744222034509-7.149387132181736e-12j),(-0.1522760510399053+3.130364277730469j),(-0.15227605103999228-3.1303642777308656j),(-0.15563122671242247+9.008209480423824j),(-0.15563122671256782-9.008209480423812j),(-0.19564302147811877+9.735885695507076e-12j),(-0.20382978526868037-8.125132299651487j),(-0.2038297852688036+8.1251322996512j),(-0.2059757439056532+16.00781852762684j),(-0.2059757439057939-16.007818527626203j),(-0.24694770070975497+4.994758642673809j),(-0.24694770070979402-4.994758642674234j),(-0.25417452926550227+15.124756331467678j),(-0.2541745292657938-15.124756331467559j),(-0.2561294340058148-25.007638069878585j)
(-1.5250020440924566e-13+4.40524914267872e-13j),(-0.0626346230530177+0.8660644256180173j),(-0.06263462305312133-0.8660644256180652j),(-0.10468407807685887+4.0177797834590185j),(-0.10468407807688797-4.0177797834592j),(-0.12161615105305643-8.918285432326007e-12j),(-0.15256917316120336-3.15102503026069j),(-0.15256917316135632+3.1510250302603566j),(-0.15650829717911335-9.010839813076608j),(-0.15650829717923054+9.010839813076881j),(-0.194986110189016+1.4993536984327565e-11j),(-0.20439691725150627-8.144104682306441j),(-0.2043969172517366+8.144104682306736j),(-0.20690107305775396+16.010327189638456j),(-0.20690107305797864-16.010327189635824j),(-0.24645745968418087+4.993077454040988j),(-0.24645745968435176-4.993077454040898j),(-0.2547902185264044-15.143608805383975j),(-0.25479021852647327+15.143608805384773j),(-0.2570777257812503+25.01008823917303j)
(-6.573706127548855e-14-7.664451139616488e-14j),(-0.06442315040242261+0.8487274572843035j),(-0.06442315040256753-0.8487274572839081j),(-0.10532994422535547-4.0230505495612645j),(-0.10532994422569499+4.023050549561246j),(-0.1246246634348384+6.008203899872931e-13j),(-0.15287123803394848+3.173497293826456j),(-0.1528712380341012-3.173497293826383j),(-0.15745724988462545-9.014050743404312j),(-0.1574572498846691+9.01405074340453j),(-0.194295857315766-5.048336195537514e-13j),(-0.2050033018303216-8.16451245315556j),(-0.2050033018304438+8.164512453155279j),(-0.20790069357240085-16.013391668846488j),(-0.20790069357243013+16.013391668847277j),(-0.24592370787860274-4.991022861267505j),(-0.24592370787867499+4.991022861267729j),(-0.2554477114363417-15.16387189990123j),(-0.2554477114364435+15.1638718999009j),(-0.25810201244562114-25.01308112373052j)
(-9.273286860630418e-15-4.3280314454612754e-13j),(-0.06633803820132489-0.8305661193530063j),(-0.06633803820137696+0.8305661193527442j),(-0.10601763673974776-4.029404759143115j),(-0.10601763673995292+4.029404759143514j),(-0.1278130358387352+1.1710817991213146e-12j),(-0.15318050249836127-3.1978560937087375j),(-0.15318050249836532+3.1978560937081912j),(-0.1584798713712924-9.01791987254479j),(-0.15847987137139966+9.017919872544347j),(-0.19358366812235542-3.30700822318187e-12j),(-0.20564896827425322+8.186379538054288j),(-0.20564896827434112-8.186379538054455j),(-0.20897615161007171+16.017087023843587j),(-0.20897615161024766-16.017087023841718j),(-0.24534507580651824-4.988544124177596j),(-0.24534507580662687+4.98854412417706j),(-0.2561468384397768-15.185566991662258j),(-0.2561468384398981+15.185566991661782j),(-0.25920388589020926-25.01668996864107j)
(2.287060045388984e-13-1.3281245129691466e-13j),(-0.06838064035767583-0.811633753129025j),(-0.06838064035785171+0.8116337531290657j),(-0.10674719483134208-4.036977741598553j),(-0.10674719483161292+4.036977741598631j),(-0.1311655396971173+1.9014090850842476e-12j),(-0.15349528801755336-3.2241803287480546j),(-0.1534952880175594+3.224180328747796j),(-0.15957789076476442+9.02252885946849j),(-0.15957789076483692-9.022528859468686j),(-0.19286677858211299-2.1140406390995485e-12j),(-0.2063339481174401+8.209730942199739j),(-0.2063339481176686-8.209730942199192j),(-0.2101289053242184-16.021492438216452j),(-0.21012890532423184+16.02149243821571j),(-0.2447203023703057+4.98558770638837j),(-0.24472030237043757-4.985587706388462j),(-0.2568874075881198+15.208716612596746j),(-0.2568874075881693-15.208716612597268j),(-0.26038485768250513-25.020992029164407j)
(-1.326023844372035e-13-1.4330283072004572e-13j),(-0.07055216868549918+0.7919860630319462j),(-0.07055216868557249-0.7919860630320912j),(-0.10751866325191001+4.045911224276053j),(-0.10751866325207793-4.045911224276662j),(-0.13465795766679758-3.805009068339704e-12j),(-0.15381401668959527+3.2525524991823884j),(-0.15381401668960937-3.252552499182463j),(-0.16075294384152972+9.027963150972342j),(-0.16075294384167046-9.027963150972331j),(-0.19217093355949647+7.014051940218873e-12j),(-0.20705827521890324-8.234592666802557j),(-0.20705827521891765+8.234592666802548j),(-0.21136028890489453+16.02669099092582j),(-0.2113602889049379-16.026690990924752j),(-0.24404827488329908+4.98209746040223j),(-0.24404827488335026-4.982097460402645j),(-0.2576692027369886-15.233344410812228j),(-0.25766920273727006+15.233344410811505j),(-0.26164632157000595-25.026068342630147j)
(-1.4868008644923708e-13+2.9847609811773055e-13j),(-0.07285365199618275-0.7716808404267848j),(-0.07285365199631332+0.7716808404266615j),(-0.10833209290144867-4.056352797816432j),(-0.10833209290174571+4.056352797817131j),(-0.1382535372662721+1.4131617642453748e-11j),(-0.15413524886867466-3.2830583955226684j),(-0.1541352488687508+3.2830583955227706j),(-0.16200653523252717+9.034311672208878j),(-0.1620065352326253-9.034311672208856j),(-0.19153440293873616-2.078099518069669e-11j),(-0.20782198582134087+8.260991621965747j),(-0.20782198582136288-8.260991621965593j),(-0.21267147668422073+16.032769389130582j),(-0.21267147668432132-16.032769389131182j),(-0.24332807115371635-4.978014847914063j),(-0.2433280711538227+4.9780148479143325j),(-0.25849198173641785-15.259475110050163j),(-0.2584919817364577+15.259475110050092j),(-0.262989514136226+25.032003462791604j)
