xi,lambda_1,lambda_1_degen,T_X
(8.5+0j),(-0.0037944461781442055+1.3387503458168955e-13j),(-0.0037944461781442055+1.3387503458168955e-13j),(263.5430713867924+0j)
(8.6+0j),(-0.0034333391004044947-4.709798183439292e-14j),(-0.0034333391004044947-4.709798183439292e-14j),(291.2616466815603+0j)
(8.700000000000001+0j),(-0.003018900928579873-6.400493137940492e-14j),(-0.003018900928579873-6.400493137940492e-14j),(331.2463786184636+0j)
(8.8+0j),(-0.0025984189940555275+8.561097833648775e-14j),(-0.0025984189940555275+8.561097833648775e-14j),(384.8494035364299+0j)
(8.9+0j),(-0.0022798425133930696-2.6968272076857944e-14j),(-0.0022798425133930696-2.6968272076857944e-14j),(438.6267885283483+0j)
(9+0j),(-0.0026701478096550994-1.8673109965946948e-13j),(-0.0026701478096550994-1.8673109965946948e-13j),(374.51110248805634+0j)
(9.1+0j),(-0.00227169291579974-7.011752549266897e-14j),(-0.00227169291579974-7.011752549266897e-14j),(440.20034268053973+0j)
(9.200000000000001+0j),(-0.0026888769815140347-8.38929515287387e-15j),(-0.0026888769815140347-8.38929515287387e-15j),(371.90247336526596+0j)
(9.3+0j),(-0.003172764847070325-1.0355835098287941e-13j),(-0.003172764847070325-1.0355835098287941e-13j),(315.1825137382565+0j)
(9.4+0j),(-0.003626738818485557+6.022414899480236e-14j),(-0.003626738818485557+6.022414899480236e-14j),(275.7298085274244+0j)
(9.5+0j),(-0.0040133327239532356+8.020012656278814e-14j),(-0.0040133327239532356+8.020012656278814e-14j),(249.16947304956426+0j)
(9.600000000000001+0j),(-0.0043207409850701374+4.012011992549756e-15j),(-0.0043207409850701374+4.012011992549756e-15j),(231.4417835865177+0j)
(9.700000000000001+0j),(-0.0045501359311533015-1.6623609330946798e-13j),(-0.0045501359311533015-1.6623609330946798e-13j),(219.77365404697585+0j)
(9.8+0j),(-0.0047068578301925346-1.6753638511328998e-14j),(-0.0047068578301925346-1.6753638511328998e-14j),(212.45596023432364+0j)
(9.9+0j),(-0.00479624548539972+2.746933965249591e-13j),(-0.00479624548539972+2.746933965249591e-13j),(208.4964172588968+0j)
(10+0j),(-0.004822161882749241-6.781094521156933e-15j),(-0.004822161882749241-6.781094521156933e-15j),(207.3758667408888+0j)
